solved with: SP.post_optimization_methods.LocalSearch
time limit: 1800.0 s
time to solve: 44.24 s
objective value: 282003.48

stacks (top to bottom):
stack 0:    
stack 1:    0 251 
stack 2:    
stack 3:    253 
stack 4:    4 
stack 5:    
stack 6:    
stack 7:    257 7 
stack 8:    258 
stack 9:    
stack 10:    
stack 11:    11 260 
stack 12:    12 
stack 13:    34 13 334 263 305 
stack 14:    344 489 15 264 38 
stack 15:    271 304 470 32 267 
stack 16:    333 218 460 408 17 
stack 17:    40 135 18 341 477 
stack 18:    273 148 269 366 196 
stack 19:    295 242 378 272 206 
stack 20:    270 189 297 303 450 
stack 21:    342 423 293 191 238 
stack 22:    290 472 497 287 229 
stack 23:    244 414 79 473 208 
stack 24:    50 249 309 68 166 
stack 25:    275 276 72 26 36 
stack 26:    380 404 490 430 413 
stack 27:    27 157 286 480 289 
stack 28:    115 33 436 284 123 
stack 29:    323 474 282 329 152 
stack 30:    246 416 299 337 281 
stack 31:    288 240 476 45 49 
stack 32:    444 219 121 394 102 
stack 33:    440 369 177 119 144 
stack 34:    487 448 205 220 51 
stack 35:    375 214 353 222 451 
stack 36:    236 134 67 47 171 
stack 37:    291 149 381 204 41 
stack 38:    339 146 310 350 318 
stack 39:    300 69 116 110 390 
stack 40:    181 485 352 97 160 
stack 41:    225 308 311 391 467 
stack 42:    455 179 42 83 53 
stack 43:    315 356 435 320 194 
stack 44:    468 429 319 368 432 
stack 45:    199 198 140 106 458 
stack 46:    481 213 107 397 195 
stack 47:    162 175 243 71 358 
stack 48:    453 137 478 495 298 
stack 49:    385 409 338 317 347 
stack 50:    61 237 354 150 328 
stack 51:    488 164 192 227 376 
stack 52:    493 235 387 383 122 
stack 53:    183 100 62 449 406 
stack 54:    59 87 180 402 364 
stack 55:    141 407 327 494 314 
stack 56:    471 159 446 105 173 
stack 57:    411 109 172 365 92 
stack 58:    95 465 111 377 139 
stack 59:    463 355 124 498 217 
stack 60:    250 
stack 61:    1 
stack 62:    2 252 
stack 63:    3 
stack 64:    254 
stack 65:    5 255 
stack 66:    256 6 
stack 67:    
stack 68:    8 
stack 69:    9 259 
stack 70:    10 
stack 71:    261 
stack 72:    14 262 292 360 30 
stack 73:    475 241 278 16 232 
stack 74:    147 279 266 265 346 
stack 75:    447 400 268 464 54 
stack 76:    184 403 301 31 393 
stack 77:    22 438 167 325 161 
stack 78:    486 20 23 21 330 
stack 79:    143 19 52 93 357 
stack 80:    461 285 24 203 43 
stack 81:    418 136 316 433 153 
stack 82:    274 28 373 466 209 
stack 83:    415 226 25 351 178 
stack 84:    211 131 201 443 437 
stack 85:    379 392 77 35 417 
stack 86:    113 125 277 200 348 
stack 87:    283 37 382 176 462 
stack 88:    58 412 221 371 91 
stack 89:    29 452 370 280 484 
stack 90:    78 75 126 98 120 
stack 91:    439 156 349 169 80 
stack 92:    215 101 362 81 190 
stack 93:    496 332 335 84 302 
stack 94:    207 39 128 130 428 
stack 95:    64 117 427 294 66 
stack 96:    389 155 197 185 426 
stack 97:    326 63 499 228 187 
stack 98:    154 44 138 307 239 
stack 99:    374 296 388 359 431 
stack 100:    422 340 230 223 48 
stack 101:    454 46 492 202 456 
stack 102:    216 89 421 142 324 
stack 103:    118 386 182 145 331 
stack 104:    401 82 132 86 103 
stack 105:    361 170 306 483 445 
stack 106:    322 410 245 399 90 
stack 107:    127 188 248 234 312 
stack 108:    372 99 420 108 233 
stack 109:    168 363 133 343 384 
stack 110:    398 56 88 212 345 
stack 111:    425 491 419 193 158 
stack 112:    247 165 224 405 441 
stack 113:    55 60 482 74 396 
stack 114:    469 104 114 73 112 
stack 115:    395 336 442 479 231 
stack 116:    459 210 313 457 424 
stack 117:    85 70 76 151 57 
stack 118:    186 129 321 434 367 
stack 119:    96 163 94 65 174 
